eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
72.42857142857143,-0.85714287,119,0.00037569596,0.0,2.7076702,-0.0027307614,3.5697212,-0.009705185890197754,1,512,4.2799602770246565,512
83.08333333333333,-2.0,247,0.00015871941,0.0,2.7074146,-0.002733131,0.4219238,-0.08386528491973877,2,1024,7.188506575766951,1024
83.70588235294117,-2.2941177,252,5.0371793e-05,0.0,2.7070363,-0.0004870519,0.23933911,0.1252536177635193,3,1536,9.219810103997588,1536
83.45833333333333,-2.6666667,248,7.675244e-05,0.0,2.7062016,-0.0011713855,0.4335682,-0.02214980125427246,4,2048,11.277874812018126,2048
