eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
88.92307692307692,-2.912088,88.76086956521739,-2.6413043,191,0.00011047273,0.0,2.707962,-0.0005150375,0.63863903,0.01837623119354248,1,8192,42.851975398138165,8192
82.55,-2.8,82.75,-2.55,213,0.00015910722,0.0,2.6973782,-0.00035851044,0.20023473,0.12762802839279175,10,81920,388.81864428613335,81920
78.45,-1.4,74.78,-1.82,207,0.00094464864,0.0,2.5785968,-0.0010249651,0.09854812,0.4355643391609192,20,163840,775.411905511748,163840
75.24,-1.21,76.01,-1.28,212,0.0033257206,0.032226562,1.1496781,-0.00040882747,0.056218028,0.7339375019073486,30,245760,1160.7709171739407,245760
78.91,-0.97,73.66,-1.08,214,0.0009245325,0.011230469,0.630364,0.00023756207,0.0676888,0.7883888483047485,40,327680,1544.7491063657217,327680
77.65,-0.94,71.3,-1.58,213,0.00050687534,0.004272461,0.35398522,-0.0002641906,0.033455655,0.8719089478254318,50,409600,1930.960741717834,409600
77.21,-1.14,70.95,-0.61,215,0.0005698672,0.0044759116,0.5984845,-5.7751196e-05,0.029475227,0.8940092623233795,60,491520,2312.752293176949,491520
74.87,-0.99,74.24,-0.89,211,0.00011609562,4.0690105e-05,0.39047638,-0.00033691074,0.024171295,0.9167216867208481,70,573440,2699.251823635772,573440
75.99,-1.31,75.25,-1.64,210,0.00023967074,0.00069173175,0.40370807,-0.00035545815,0.018890234,0.9517948478460312,80,655360,3085.8872458920814,655360
75.63,-0.79,72.42,-1.02,211,0.00095952855,0.008870442,0.37098265,-0.0007343656,0.01665075,0.9500709027051926,90,737280,3470.5494098640047,737280
75.15,-0.75,74.63,-1.2,213,0.00016520119,0.00028483072,0.20240188,-0.00018202777,0.01576639,0.9586065970361233,100,819200,3852.2657132158056,819200
76.74,-0.61,72.66,-1.07,216,0.0008357771,0.014200847,0.15156905,-0.00020692707,0.012549554,0.9646037481725216,110,901120,4232.341995390132,901120
72.42,-0.71,73.57,-1.05,211,0.00022170458,0.0024820964,0.14286447,-0.00033904883,0.018685862,0.9779557231813669,120,983040,4610.050065652002,983040
77.4,-1.08,75.03,-0.68,212,0.00030361864,0.0052490234,0.094484486,-0.00020828424,0.017672243,0.9725899286568165,130,1064960,4998.858373594005,1064960
72.64,-1.06,76.3,-0.81,213,0.00039091427,0.007405599,0.17131393,-0.00022890054,0.010839336,0.9652638770639896,140,1146880,5385.090777164791,1146880
75.56,-0.54,74.34,-1.48,211,0.0022034629,0.030151367,0.22254515,0.00071649,0.011652262,0.9661458358168602,150,1228800,5772.785929990001,1228800
75.08,-0.8,76.07,-1.26,217,0.0006421907,0.0075683594,0.16794665,-0.00054241315,0.010223857,0.9778582286089659,160,1310720,6158.674087471794,1310720
74.95,-0.58,74.43,-0.77,210,0.012464595,0.0357666,0.10277756,0.005248619,0.009823444,0.9711824264377356,170,1392640,6546.494867240079,1392640
76.38,-0.94,75.96,-1.21,210,0.00069124886,0.008992513,0.10921353,0.00019332347,0.01066414,0.9857501052320004,180,1474560,6933.834372644778,1474560
77.67,-0.9,73.9,-0.57,215,0.00044579807,0.0052490234,0.1465218,-0.0011990917,0.011021926,0.9780951626598835,190,1556480,7320.24035434518,1556480
73.78,-0.98,73.97,-0.93,211,0.0002053352,0.0020345051,0.051054973,-0.00046586225,0.0059203263,0.9836610816419125,200,1638400,7707.417525642086,1638400
78.07,-0.85,72.67,-0.84,212,0.00036297855,0.0047200522,0.054417193,-0.0004125797,0.00593161,0.988098431378603,210,1720320,8096.951564237941,1720320
74.13,-0.64,74.74,-1.0,213,0.00024191599,0.003133138,0.06523592,-0.00026213392,0.004945534,0.9876898275688291,220,1802240,8482.184489059728,1802240
77.26,-0.73,72.49,-1.43,213,0.00045396123,0.006266276,0.09737707,-0.00024612818,0.008984542,0.9762937054038048,230,1884160,8867.51525280904,1884160
75.87,-0.87,72.92,-0.69,209,0.00047566276,0.0063069663,0.07217378,-0.0002979566,0.004809948,0.9875939516350627,240,1966080,9252.257032043766,1966080
75.26,-0.79,75.25,-1.4,211,0.00017339522,0.0026855469,0.052015763,-0.00094592385,0.004096264,0.9872198356315494,250,2048000,9634.754147822969,2048000
73.8,-0.57,77.35,-1.04,213,9.624744e-05,0.0013020834,0.08009044,-0.00027865195,0.0041745803,0.9872620338574052,260,2129920,10020.869438875932,2129920
74.45,-0.84,74.94,-0.98,212,0.00015284163,0.0024820964,0.066160895,-0.0004947293,0.004705638,0.9860942391678691,270,2211840,10406.55959504703,2211840
76.5,-0.51,72.88,-1.23,214,0.00028712922,0.004638672,0.07209071,-0.0008005469,0.0040956233,0.9853683700785041,280,2293760,10793.021573539823,2293760
76.06,-0.96,73.95,-1.28,214,0.00028156923,0.0026855469,0.07992673,-0.0014282493,0.0071197324,0.9841906111687422,290,2375680,11177.580465096049,2375680
76.15,-0.56,76.3,-1.14,214,0.004307008,0.016357422,0.05417268,3.077245e-07,0.009472706,0.9842540509998798,300,2457600,11562.213342126925,2457600
76.95,-0.9,72.67,-0.95,211,0.00078668684,0.00789388,0.030611748,0.00043754026,0.008561045,0.9891463341191411,310,2539520,11945.325808716938,2539520
73.01,-0.41,74.05,-0.73,212,2.5982712e-05,0.00024414062,0.025457023,-0.00020424214,0.0052465065,0.9816756937652826,320,2621440,12328.765923544765,2621440
76.71,-0.73,73.19,-1.07,213,0.0005196715,0.0052490234,0.035157356,-0.00075688027,0.006050296,0.990503866225481,330,2703360,12713.092181866057,2703360
72.73,-1.07,72.03,-1.08,214,0.00022697727,0.0028076172,0.03057778,-0.00028798007,0.0034836258,0.9926283122040331,340,2785280,13096.394801564049,2785280
74.33,-0.49,74.18,-0.79,212,9.225771e-05,0.00081380206,0.040735107,-0.0008438605,0.0057698865,0.9822733029723167,350,2867200,13481.563243396115,2867200
72.99,-0.86,72.62,-0.8,213,0.00032195306,0.003133138,0.040914714,-0.0018613609,0.009538411,0.9811016153544188,360,2949120,13868.530840876047,2949120
74.05,-0.69,74.52,-1.06,212,0.00014596626,0.0018310547,0.059292883,-0.00066145044,0.006120225,0.9838459957391024,370,3031040,14254.733785695862,3031040
78.94,-0.58,75.91,-1.23,210,0.0012403814,0.010904948,0.04079969,0.00088441995,0.011377892,0.9647075198590755,380,3112960,14642.67829017574,3112960
77.04,-0.79,75.86,-0.86,211,0.00075476273,0.0064290366,0.04820867,-0.00016900773,0.008439078,0.9835465531796217,390,3194880,15029.285675432067,3194880
73.13,-0.85,71.38,-1.14,211,0.00047178776,0.0053710938,0.049003024,-0.00081570935,0.009050131,0.9761478528380394,400,3276800,15417.453104098793,3276800
75.1,-0.59,74.03,-0.44,211,0.00027601895,0.0031738281,0.0749189,-0.001337992,0.005960919,0.9846927104517817,410,3358720,15806.763300932012,3358720
75.78,-0.36,75.04,-1.08,212,0.0007487717,0.0057779946,0.03711001,-0.0008350076,0.009070578,0.9736240822821856,420,3440640,16194.128996403888,3440640
77.66,-0.35,72.34,-1.41,213,0.00011691488,0.0013427734,0.030165168,-0.00045813597,0.011436786,0.9684605933725834,430,3522560,16581.677728565875,3522560
75.57,-0.28,74.86,-0.61,213,0.004120352,0.013671875,0.068336956,0.001125489,0.011253181,0.9691830463707447,440,3604480,16968.162434007972,3604480
76.87,-0.38,74.27,-0.77,211,0.00051363854,0.005859375,0.057272244,-0.0011938222,0.007830239,0.9832110442221165,450,3686400,17357.18191099912,3686400
78.34,-0.27,72.47,-0.46,211,0.00087265717,0.0072021484,0.053776603,-0.00082635024,0.010371119,0.9752841293811798,460,3768320,17744.150483292062,3768320
74.44,-0.24,73.82,-0.66,206,0.00052094355,0.007120768,0.05184464,-0.0010113887,0.005629068,0.9812955986708403,470,3850240,18133.312969671097,3850240
77.16,-0.5,75.24,-0.77,217,0.00036759666,0.0032552083,0.031864434,-0.0009428763,0.01878312,0.9653303623199463,480,3932160,18515.642637551762,3932160
74.07,-0.47,73.61,-0.61,219,0.004360073,0.0146484375,0.04406163,0.00052104593,0.018927798,0.9637476578354836,490,4014080,18894.266461916734,4014080
76.96,-0.16,73.57,-0.88,218,0.001448908,0.008463542,0.038240973,-0.00078825845,0.022666996,0.9473686628043652,500,4096000,19269.668023042846,4096000
81.12,-0.04,71.9,-0.61,219,0.0010212926,0.00785319,0.042182248,0.00012025578,0.028584182,0.9297028034925461,510,4177920,19646.065862490796,4177920
72.39,0.07,75.42,-0.42,217,0.00063565344,0.0056966147,0.035615586,-0.0015760368,0.013505024,0.9370003417134285,520,4259840,20022.06130085606,4259840
75.55,0.38,75.92,-1.1,217,0.0020244454,0.012084961,0.055418193,-0.00062040874,0.0063283425,0.9768748767673969,530,4341760,20398.38685371075,4341760
76.31,0.68,71.24,-0.39,216,0.0031578494,0.012451172,0.038034633,0.000915399,0.012219018,0.911014586687088,540,4423680,20775.984844040126,4423680
78.15,0.37,72.5,-0.63,218,0.004965704,0.012166341,0.027802253,0.00024246564,0.019015659,0.9527205228805542,550,4505600,21151.96083584195,4505600
80.72,0.4,72.89,-0.19,216,0.0008698352,0.008219401,0.045967728,-0.0008882259,0.012920017,0.9220312535762787,560,4587520,21529.694385503884,4587520
78.42,0.38,70.83,-0.58,218,0.0006042423,0.005859375,0.048189346,-0.0012399916,0.009307297,0.9724662825465202,570,4669440,21907.67735106079,4669440
80.95,0.41,76.52,-0.46,217,0.0012899718,0.008626302,0.07223112,-0.0008520006,0.0149688125,0.966134563088417,580,4751360,22285.109351368155,4751360
81.75,0.47,73.01,-0.54,216,0.0025604714,0.012817383,0.047384832,-0.00010851957,0.010791208,0.9786711875349283,590,4833280,22663.114520109724,4833280
83.99,0.39,76.53,-0.31,217,0.0021313636,0.007405599,0.034683388,-0.00039668032,0.013432973,0.9678446650505066,600,4915200,23039.51021300303,4915200
81.05,0.41,78.68,-0.55,217,0.001986699,0.010457356,0.04083434,-0.00020858801,0.012729317,0.9826687350869179,610,4997120,23414.945331242867,4997120
91.49,0.75,78.95,-0.12,216,0.0076562166,0.020548502,0.066587456,-6.3749496e-05,0.014140119,0.9651335589587688,620,5079040,23792.501853731927,5079040
79.21,0.5,74.51,0.45,215,0.0016980828,0.01171875,0.060069818,-0.0011161186,0.027033716,0.9228237718343735,630,5160960,24168.542427922133,5160960
91.31,0.97,78.13,0.18,216,0.0013544658,0.010294597,0.062434267,-0.00074030674,0.014564966,0.9559757113456726,640,5242880,24546.022052356042,5242880
86.31,0.88,81.04,-0.12,218,0.0044252607,0.018676758,0.08034034,-0.00068665476,0.03504781,0.948897335678339,650,5324800,24921.36138427304,5324800
83.13,1.07,83.7,0.29,218,0.0021175789,0.015177409,0.07680895,-0.0001861155,0.007516995,0.9830655008554459,660,5406720,25297.544031559024,5406720
87.41,1.2,80.19,0.46,219,0.0009993807,0.009602864,0.08528566,-0.00037211165,0.0071123857,0.9745097402483225,670,5488640,25675.64896242693,5488640
84.62,0.95,81.27,0.38,222,0.0010536679,0.007975261,0.06617031,-0.0011037259,0.016081197,0.9644121676683426,680,5570560,26051.757544801105,5570560
82.52,0.82,79.69,0.41,217,0.0043213777,0.012613933,0.045155004,0.00012797269,0.011223148,0.9641548879444599,690,5652480,26430.15992053179,5652480
90.96,1.09,88.56,0.58,216,0.037428375,0.031534832,0.048820183,0.0076603056,0.012734774,0.9586589150130749,700,5734400,26805.507369135972,5734400
85.98,0.98,84.16,0.33,219,0.002323081,0.01566569,0.07325112,-0.0005390187,0.011196914,0.9741494432091713,710,5816320,27182.480491464958,5816320
87.3,1.28,82.56,0.69,219,0.005989867,0.028645834,0.1502903,0.00094019173,0.019764049,0.9430337585508823,720,5898240,27559.68795518903,5898240
91.25,1.41,86.74,0.4,217,0.003556897,0.014811198,0.09948826,-0.00057808956,0.017987078,0.9410428814589977,730,5980160,27936.13119612215,5980160
88.71,1.31,90.57,0.68,216,0.0072970917,0.021728516,0.12353132,0.0013134232,0.019635703,0.9440331645309925,740,6062080,28312.666496002115,6062080
94.5,1.07,95.87,0.9,217,0.0025839854,0.014851888,0.13254718,-0.0019026144,0.035466645,0.9011604338884354,750,6144000,28690.854622568935,6144000
98.15,1.46,92.95,0.5,166,0.0009803278,0.00801595,0.14578418,-0.00090230716,0.030238971,0.9346272125840187,760,6225920,29138.585878517944,6225920
105.7,1.69,88.93,0.46,162,0.0025169717,0.016520182,0.14546244,-0.0009565389,0.061635558,0.8490538448095322,770,6307840,29636.104075199924,6307840
95.53,1.45,95.67,0.95,164,0.0026000685,0.014892578,0.14106697,-0.0017040503,0.026116582,0.915727362036705,780,6389760,30129.826658844016,6389760
105.15,1.28,103.12,0.63,155,0.0018557878,0.015258789,0.13954508,-0.002089492,0.03397194,0.9062011986970901,790,6471680,30631.68061716575,6471680
107.9,1.78,93.99,0.65,146,0.0032718263,0.019856771,0.1421072,-0.0017186782,0.03916381,0.9070905223488808,800,6553600,31170.847508880775,6553600
121.56,2.12,100.22,1.23,159,0.0011834573,0.011352539,0.15589577,-0.0018523053,0.031428423,0.9168989583849907,810,6635520,31698.09384232899,6635520
129.38,1.99,96.3,0.59,165,0.0028472468,0.022623697,0.12728097,-0.00087133533,0.03420572,0.9101801291108131,820,6717440,32221.728389733005,6717440
123.63,2.23,97.78,1.01,212,0.0026980892,0.017089844,0.117308594,-0.0012791405,0.06882886,0.937471404671669,830,6799360,32627.452413316816,6799360
152.11,3.63,110.38,1.39,219,0.0022874034,0.015950521,0.13388373,-0.0004453943,0.1163159,0.9375452809035778,840,6881280,33003.52269424405,6881280
135.86,2.64,111.46,1.16,220,0.0033021432,0.02339681,0.1340819,-0.00096169324,0.08337221,0.8294856399297714,850,6963200,33377.55675699795,6963200
149.51,3.84,119.87,1.47,221,0.004907377,0.030395508,0.12464336,0.0010557015,0.09589559,0.9673023410141468,860,7045120,33750.976121612824,7045120
153.87,3.72,134.78,1.8,220,0.0064799325,0.034301758,0.18224092,0.00049134257,0.09803297,0.9141801670193672,870,7127040,34122.76031219913,7127040
182.68,4.7,172.26,2.94,219,0.0030207399,0.021891275,0.12626138,-0.0014771894,0.10971662,0.9061721861362457,880,7208960,34495.008293739986,7208960
178.88,5.09,167.05,3.32,220,0.0018985178,0.020182291,0.1909663,-0.00057815807,0.20017572,0.8595699220895767,890,7290880,34867.36682471493,7290880
172.67,6.14,165.39,3.93,217,0.0030544598,0.028198242,0.21575816,0.0012965436,0.18737978,0.8955335319042206,900,7372800,35239.01748174196,7372800
217.33,8.14,183.58,4.61,218,0.0023384455,0.024169922,0.1928355,-0.0011033491,0.29871443,0.8751412481069565,910,7454720,35611.48156706989,7454720
214.44,8.9,198.23,5.14,219,0.004591946,0.036702473,0.18423636,0.0008531374,0.18232153,0.9100652560591698,920,7536640,35984.428601720836,7536640
232.12,8.46,198.75,4.9,222,0.0010675578,0.013631185,0.15951641,-0.0016638435,0.38012278,0.8780603855848312,930,7618560,36357.39406127483,7618560
248.71,11.35,240.49,7.87,220,0.0004937787,0.0053710938,0.14719673,-0.000522579,0.30920592,0.9161021858453751,940,7700480,36729.86981112417,7700480
269.87,10.83,221.64,5.96,220,0.0022340228,0.02335612,0.17966545,-0.000957721,0.4837563,0.8444127440452576,950,7782400,37101.3748942418,7782400
264.62,11.51,231.08,6.19,224,0.0020712595,0.022420248,0.14610039,-0.0007916112,0.35313404,0.8782696425914764,960,7864320,37472.67484244984,7864320
260.9,11.04,258.33,8.46,216,0.0029336053,0.028808594,0.14196034,-0.0005881945,0.42953753,0.8996442183852196,970,7946240,37846.17345227813,7946240
304.93,14.83,231.96,7.4,221,0.0010001189,0.012613933,0.16795993,-0.0014394849,0.34497,0.9084328860044479,980,8028160,38218.5557377981,8028160
285.4,14.32,286.87,10.82,219,0.00346087,0.030151367,0.18635999,-0.00096611,0.3466735,0.8832327798008919,990,8110080,38590.6092764358,8110080
302.42,14.63,254.39,9.23,220,0.0034922862,0.033081055,0.16790444,-0.0013645841,0.3261281,0.9289637878537178,1000,8192000,38966.35025299294,8192000
311.07,14.43,276.67,9.19,217,0.0032632474,0.028605143,0.14770623,8.307013e-05,0.422066,0.8970820903778076,1010,8273920,39339.42431254918,8273920
319.71,16.78,279.28,9.24,219,0.008195106,0.045979816,0.13267724,0.0004667552,0.4646466,0.9103474244475365,1020,8355840,39711.406399542,8355840
314.09,15.83,268.42,10.57,221,0.0025570367,0.02347819,0.14133282,-0.001883233,0.34836206,0.900353729724884,1030,8437760,40083.74556342885,8437760
321.5,15.21,317.79,12.44,221,0.0031168628,0.019205729,0.13903882,-0.00045896575,0.46340585,0.8676383197307587,1040,8519680,40456.299162497744,8519680
333.0,17.51,298.3,11.74,218,0.0042594657,0.034261066,0.17391364,-0.00030706366,0.44986734,0.8811618536710739,1050,8601600,40831.03361562174,8601600
341.81,18.23,297.9,12.0,221,0.0033934463,0.026163736,0.14708121,-0.0023465382,0.36618376,0.923311784863472,1060,8683520,41202.82702822378,8683520
349.18,18.95,314.39,14.41,220,0.007650805,0.05529785,0.1655681,0.0018517878,0.337684,0.8906901329755783,1070,8765440,41574.242012941744,8765440
333.39,17.89,280.01,10.96,211,0.010144044,0.05834961,0.18278883,0.0024147222,0.38704148,0.8850736021995544,1080,8847360,41952.76707899617,8847360
276.07,13.14,247.12,9.35,167,0.0017211369,0.019083658,0.21196242,-0.0016818502,0.4422177,0.9248320460319519,1090,8929280,42457.9769527209,8929280
305.37,14.55,270.79,10.23,168,0.007793719,0.06225586,0.240381,0.001107459,0.49725607,0.8757068440318108,1100,9011200,42955.98463444086,9011200
329.75,16.93,316.24,13.92,160,0.007890959,0.055541992,0.1963144,0.0002435975,0.35300207,0.9298993051052094,1110,9093120,43443.88484897977,9093120
336.93,18.05,312.2,14.02,168,0.006207073,0.048136394,0.2049243,-0.0004770353,0.23007047,0.9454763382673264,1120,9175040,43935.000013143755,9175040
359.89,17.9,311.75,13.42,165,0.0059729046,0.052408855,0.22247629,-0.0018517122,0.30649975,0.9275606647133827,1130,9256960,44419.28682688577,9256960
340.38,19.16,304.44,14.03,173,0.029985065,0.10233561,0.1909317,0.0073285755,0.37479106,0.9148617535829544,1140,9338880,44900.259751477744,9338880
323.75,17.78,296.37,12.42,173,0.0019784223,0.02331543,0.20528239,-0.0023713426,0.16563506,0.9384491816163063,1150,9420800,45379.996752754785,9420800
358.34,20.2,321.08,14.23,157,0.015408434,0.07368978,0.16858606,0.0033323842,0.2665174,0.9202098697423935,1160,9502720,45859.67891159002,9502720
364.42,18.58,316.27,16.02,179,0.0026668382,0.030436197,0.16891287,-0.001328644,0.29371628,0.9189774096012115,1170,9584640,46333.52933645481,9584640
350.63,18.32,321.04,15.2,179,0.0058840886,0.043375652,0.14916438,0.00074094237,0.22492903,0.9200626760721207,1180,9666560,46803.712585810106,9666560
363.17,20.76,325.9,14.85,182,0.03341013,0.10253906,0.18907149,0.010577853,0.29516128,0.8449559211730957,1190,9748480,47266.12994939787,9748480
347.8,19.23,330.5,15.71,211,0.002378136,0.024698893,0.16095085,-0.0013414565,0.29041824,0.9089978784322739,1200,9830400,47660.01798311714,9830400
391.21,20.99,339.64,14.83,213,0.0045888308,0.048583984,0.22227816,0.0018336596,0.30217016,0.910708412528038,1210,9912320,48049.69854440587,9912320
370.34,20.67,337.65,17.47,208,0.004041015,0.03511556,0.2019537,-0.00076788367,0.31186712,0.9000584706664085,1220,9994240,48439.425398127176,9994240
380.57,22.52,335.9,15.35,209,0.006218042,0.049397785,0.19950135,-0.0010572338,0.30202937,0.824532762169838,1230,10076160,48826.81222830014,10076160
379.96,22.34,366.37,19.3,164,0.011464761,0.06778971,0.202357,0.0030219313,0.15055144,0.929992787539959,1240,10158080,49268.41820339998,10158080
364.12,20.86,337.08,17.56,162,0.0048284368,0.048502605,0.26395392,-0.0009419059,0.25310317,0.9014664962887764,1250,10240000,49774.055066066794,10240000
370.87,21.94,331.14,16.26,206,0.003046056,0.029459635,0.21470423,-0.0031801707,0.18441384,0.943400003015995,1260,10321920,50176.714651940856,10321920
368.17,22.55,318.26,14.52,204,0.0019293766,0.02368164,0.22161372,-0.0029083574,0.2442522,0.9234985634684563,1270,10403840,50577.65729371179,10403840
391.93,23.75,355.94,17.99,205,0.005442237,0.044555664,0.2707068,-2.3263312e-05,0.30377707,0.8611805140972137,1280,10485760,50979.27962115407,10485760
382.52,22.86,373.35,20.1,205,0.003976093,0.044433594,0.29321793,-8.117229e-05,0.3546724,0.8864363133907318,1290,10567680,51377.28948451998,10567680
365.65,20.86,307.26,13.08,206,0.007946417,0.083211266,0.36280861,0.0051080002,0.2556227,0.9002375602722168,1300,10649600,51776.22761707986,10649600
386.19,24.57,332.08,16.76,209,0.05681574,0.11751302,0.23165578,0.010486449,0.28744507,0.8757251873612404,1310,10731520,52170.170422738884,10731520
369.83,21.83,321.54,13.75,208,0.0010109245,0.014363606,0.19601573,-0.0016003782,0.21828735,0.9089633822441101,1320,10813440,52566.00110138487,10813440
375.92,20.63,338.08,16.21,211,0.0029630421,0.031982422,0.18670826,-0.0011289098,0.2765649,0.9171529188752174,1330,10895360,52958.60255850991,10895360
388.43,23.94,328.53,15.88,207,0.03142843,0.10481771,0.21359026,0.008251649,0.42030886,0.8287844806909561,1340,10977280,53350.64177891379,10977280
383.31,23.51,345.97,17.06,209,0.0016405032,0.01981608,0.21897443,-0.003419146,0.25704458,0.7930856496095657,1350,11059200,53738.7625327711,11059200
367.38,20.83,326.54,15.82,208,0.0013359966,0.01542155,0.18981194,-0.002825994,0.15139866,0.9314759224653244,1360,11141120,54134.50347867794,11141120
380.27,22.58,359.69,19.67,210,0.0072199125,0.04215495,0.19427139,0.0004118481,0.16860555,0.9033199995756149,1370,11223040,54527.07795669092,11223040
383.28,22.72,347.65,18.08,209,0.0028682288,0.025838217,0.19960128,-0.0015639864,0.1986203,0.8791457861661911,1380,11304960,54919.576785182115,11304960
369.04,22.57,320.3,15.31,212,0.0050850236,0.055338543,0.27505925,-0.0012876886,0.15831693,0.8775686919689178,1390,11386880,55314.05493465299,11386880
395.97,25.08,358.3,18.66,206,0.008687119,0.046875,0.16331294,0.0016062185,0.15824239,0.9260570555925369,1400,11468800,55708.88825918315,11468800
378.74,22.43,373.71,18.75,210,0.0037932824,0.033365887,0.20343979,-0.0018941584,0.2557653,0.9033450037240982,1410,11550720,56101.608521435875,11550720
388.61,24.73,346.55,17.82,211,0.00600899,0.048909504,0.24155818,-0.00082344114,0.122449696,0.9254383444786072,1420,11632640,56493.93926455313,11632640
382.16,24.84,330.5,16.96,212,0.024091614,0.10632324,0.25244948,0.008127851,0.23117496,0.8939087316393852,1430,11714560,56887.09042661078,11714560
386.72,24.21,352.36,17.44,210,0.026491905,0.07332357,0.17146355,0.0056585018,0.16149826,0.9436549544334412,1440,11796480,57278.37803469598,11796480
391.54,24.2,371.34,20.59,211,0.01034516,0.0587972,0.15040736,0.0035397045,0.1319703,0.9563041254878044,1450,11878400,57668.28253152501,11878400
386.56,23.71,388.08,22.38,211,0.004688578,0.025756836,0.17714655,-0.0007831406,0.13065176,0.9455869346857071,1460,11960320,58059.110192922875,11960320
380.26,22.97,363.05,20.78,211,0.0010734078,0.0120442705,0.16292094,-0.0013943254,0.2672648,0.8613385558128357,1470,12042240,58448.9782051458,12042240
398.41,25.67,377.79,21.25,220,0.004144071,0.039916992,0.17221181,-0.0014148108,0.16385567,0.9354905784130096,1480,12124160,58831.243354924954,12124160
399.43,25.53,359.06,19.55,217,0.0014254035,0.012125651,0.20310454,-0.0009573556,0.23208939,0.7733018398284912,1490,12206080,59207.648365817964,12206080
396.63,25.75,380.32,21.58,217,0.0011810686,0.01554362,0.15967883,-0.0013135386,0.11657544,0.9004958346486092,1500,12288000,59584.787637487985,12288000
389.3,25.23,363.71,20.68,216,0.003894004,0.032958984,0.14527039,-0.0012766332,0.17257254,0.8908348381519318,1510,12369920,59963.77444891818,12369920
399.11,25.2,365.79,20.18,218,0.0040003997,0.034423828,0.1724971,-0.0009981752,0.11917923,0.9116999432444572,1520,12451840,60339.024644637015,12451840
398.36,25.95,351.18,18.15,222,0.0018808687,0.021118164,0.19369753,-0.0016666396,0.24483941,0.8821654468774796,1530,12533760,60712.622404033784,12533760
387.15,24.64,365.48,18.63,220,0.0070399735,0.057942707,0.1736322,0.0010582356,0.08998274,0.9451151564717293,1540,12615680,61084.336622116156,12615680
398.18,26.38,342.97,17.0,216,0.003711969,0.028238932,0.13799758,-0.0007655898,0.105662055,0.9379351548850536,1550,12697600,61462.58778084302,12697600
395.1,25.56,341.35,17.95,213,0.0013241492,0.014851888,0.14370383,-0.0020343168,0.13808976,0.9519517682492733,1560,12779520,61842.355204712134,12779520
397.31,25.73,357.38,19.54,216,0.010522611,0.06327311,0.1612358,0.0036463544,0.1611976,0.9391307979822159,1570,12861440,62223.19057695614,12861440
385.45,25.84,371.22,21.0,216,0.0030370522,0.028767904,0.14874457,-0.0007852867,0.16095783,0.9567536748945713,1580,12943360,62603.98857778311,12943360
399.81,25.35,359.71,18.56,215,0.0039741243,0.040364582,0.2261433,-0.0012635306,0.15492176,0.869618833065033,1590,13025280,62986.6778375241,13025280
385.08,24.84,362.61,19.56,214,0.0014675114,0.016682943,0.20011151,-0.0018121585,0.20821331,0.8910443112254143,1600,13107200,63371.83662744379,13107200
396.19,26.76,357.81,20.48,213,0.003178278,0.034016926,0.17480318,-0.002266837,0.16069601,0.9132721126079559,1610,13189120,63754.81412091898,13189120
360.42,22.82,373.05,21.09,212,0.0016497375,0.018513998,0.19022398,-0.0013283755,0.27820995,0.9254516512155533,1620,13271040,64138.386677988805,13271040
388.76,24.58,357.44,20.22,213,0.0010940136,0.012573242,0.19112241,-0.0013301236,0.22117054,0.9091883525252342,1630,13352960,64521.54571927618,13352960
402.56,26.85,389.25,21.63,216,0.0021770047,0.02787272,0.19193922,-0.00092377467,0.12172807,0.9378983750939369,1640,13434880,64902.07296896493,13434880
397.9,24.74,368.17,21.18,212,0.005177807,0.0390625,0.19263427,0.00037179058,0.18326207,0.9529846832156181,1650,13516800,65285.691341934726,13516800
414.54,27.74,376.78,21.52,212,0.0015708808,0.01940918,0.16410862,-0.0012245318,0.11680623,0.945382259786129,1660,13598720,65670.07863153797,13598720
413.23,28.17,353.05,19.7,210,0.006845012,0.059448242,0.1695307,0.00068218354,0.13912083,0.9396105855703354,1670,13680640,66059.69414882595,13680640
411.4,27.53,354.99,19.59,210,0.0011701534,0.013305664,0.19600897,-0.0018443152,0.071016364,0.9608476497232914,1680,13762560,66447.41625588713,13762560
403.14,28.04,360.19,20.23,208,0.0014750566,0.017618814,0.17314261,-0.0013193471,0.104055755,0.9672375470399857,1690,13844480,66837.00968950382,13844480
401.2,27.4,353.99,19.61,213,0.007933569,0.052327473,0.16982754,0.002362379,0.1779324,0.9144658893346786,1700,13926400,67223.90230759373,13926400
396.27,27.42,357.39,18.72,208,0.0048347884,0.055582684,0.2067271,0.00057253364,0.17632282,0.9409354589879513,1710,14008320,67611.82483297586,14008320
395.7,26.54,344.73,19.96,211,0.0034220207,0.03422038,0.20874079,-0.0011505834,0.2511816,0.8941250219941139,1720,14090240,67998.63323757378,14090240
385.23,24.71,346.05,18.2,210,0.0014054339,0.016316732,0.20889004,-0.001796048,0.21083747,0.9275557994842529,1730,14172160,68388.90051571093,14172160
