eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
84.58333333333333,-1.3333334,190,0.00051078934,0.0,2.7075272,-0.0026088178,1.3382977,-0.018978238105773926,1,2048,10.746122145093977,2048
80.94,-1.66,253,5.173951e-05,0.0,2.7071435,-0.0004987417,0.38629565,-0.02329695224761963,2,4096,19.12297725211829,4096
81.84,-1.44,249,1.1630495e-05,0.0,2.707225,-0.00030066632,0.14107426,0.03766334056854248,3,6144,27.340675408951938,6144
80.93,-1.7,256,1.0588029e-05,0.0,2.7072134,-0.00030529642,0.26754346,-0.01036524772644043,4,8192,35.33747759088874,8192
79.44,-1.75,249,2.3265326e-05,0.0,2.7070282,-0.00028173393,0.21216267,-0.00275576114654541,5,10240,43.53956585098058,10240
80.23,-1.96,250,3.1348955e-05,0.0,2.7068634,-0.00016639987,0.25040168,0.0929861068725586,6,12288,51.70711434306577,12288
76.85,-2.38,253,6.3757245e-05,0.0,2.705849,-0.00068595,0.24557722,0.13606268167495728,7,14336,59.79089260008186,14336
77.75,-3.12,249,7.506026e-05,0.0,2.704565,-0.00026412646,0.32546416,0.1604158878326416,8,16384,68.01214677887037,16384
79.09,-3.12,256,8.22288e-05,0.0,2.702401,-0.00041568442,0.28007907,0.22697407007217407,9,18432,75.9958152808249,18432
80.42,-3.31,245,5.8789028e-05,0.0,2.7033646,-0.00038629645,0.22079884,0.25023484230041504,10,20480,84.34188032988459,20480
81.08,-3.21,245,9.979145e-05,0.0,2.7029705,-9.8638084e-05,0.18584774,0.30515700578689575,11,22528,92.69407026097178,22528
83.08,-2.62,240,1.147866e-05,0.0,2.702936,-9.0032896e-05,0.1549173,0.2933700680732727,12,24576,101.21079262299463,24576
81.55,-2.43,243,5.246066e-05,0.0,2.7004874,-0.00046749265,0.22432716,0.04261106252670288,13,26624,109.62432694295421,26624
81.56,-2.58,243,7.768475e-05,0.0,2.7002294,-0.00016147007,0.23873048,0.2161790132522583,14,28672,118.02211002400145,28672
79.79,-2.13,232,5.314979e-05,0.0,2.6983273,-0.0003295187,0.13016309,0.12485873699188232,15,30720,126.82650840096176,30720
