eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.63,-2.21,251,8.067259e-05,0.0,2.7079725,-0.00045614317,0.526051,-0.057268500328063965,1,8192,32.59554653707892,8192
81.8,-2.9,293,1.653606e-05,0.0,2.707793,-0.00018803768,0.22911604,0.025940895080566406,2,16384,60.723148544318974,16384
78.88,-1.98,299,1.3267135e-05,0.0,2.7077186,-0.00011816908,0.16390492,0.03473252058029175,3,24576,88.04093714803457,24576
82.16,-3.09,283,2.6811374e-05,0.0,2.7075026,-0.000112540474,0.20760524,0.03980612754821777,4,32768,117.09351374395192,32768
84.9,-2.37,290,2.80056e-05,0.0,2.707073,-0.00018591247,0.18220957,0.05201315879821777,5,40960,145.29024578724056,40960
83.86,-2.4,296,3.3711072e-05,0.0,2.7063446,-0.00012655882,0.19377756,0.042882680892944336,6,49152,172.95821955706924,49152
80.9,-2.49,291,5.228304e-05,0.0,2.7051113,-0.00021271843,0.19200785,0.10843324661254883,7,57344,201.0697256149724,57344
77.56,-1.95,305,3.9945113e-05,0.0,2.7045116,-0.000281986,0.18184565,0.1174958348274231,8,65536,227.8912391550839,65536
81.43,-2.53,288,0.00026136488,0.0,2.7002306,-0.00033708083,0.19506998,0.13427245616912842,9,73728,256.4132639253512,73728
72.94,-1.81,293,3.5306308e-05,0.0,2.6995862,-0.00013715385,0.18990111,0.16321414709091187,10,81920,284.3679157476872,81920
72.48,-2.12,300,0.00014939316,0.0,2.695639,-0.00032217833,0.18070023,0.12521815299987793,11,90112,311.7151533709839,90112
83.59,-1.71,297,0.00010039169,0.0,2.693927,-0.0004904449,0.167835,0.1526152491569519,12,98304,339.23509857803583,98304
78.72,-1.3,281,0.00025214202,0.0,2.683666,-0.00062712637,0.14222097,0.26959681510925293,13,106496,368.4489056644961,106496
73.5,-1.41,298,0.000117515396,0.0,2.6791732,-0.00032337956,0.12159536,0.28081023693084717,14,114688,396.03534422814846,114688
74.02,-1.84,301,0.00040791548,0.0,2.6655073,-0.00047558415,0.14640315,0.23163384199142456,15,122880,423.23943754378706,122880
76.79,-1.61,294,0.00091918936,0.0011393229,2.6434295,-0.0008890491,0.13257809,0.26487499475479126,16,131072,451.0165581116453,131072
75.45,-1.03,294,0.0013061223,0.0024820964,2.6054256,-0.0004386613,0.09584857,0.45613235235214233,17,139264,478.80267886817455,139264
76.1,-1.28,301,0.0013191947,0.012532552,2.5565457,-0.0011353618,0.118774496,0.4658190608024597,18,147456,506.06705704052,147456
71.73,-1.4,286,0.00063751807,0.0,2.5182374,-0.00060177135,0.10982718,0.38907670974731445,19,155648,534.6285519301891,155648
73.3,-1.05,300,0.000350512,0.0,2.4812303,-0.00024994684,0.11273661,0.467515766620636,20,163840,561.867320141755,163840
71.49,-1.41,279,0.00023776642,0.0,2.4769685,-0.000423572,0.12933432,0.4855080246925354,21,172032,591.1353273810819,172032
74.88,-1.58,289,0.00028335434,0.0,2.4842424,-0.00036568855,0.11684465,0.529805988073349,22,180224,619.4509673500434,180224
72.57,-1.58,303,0.002135781,0.013142903,2.4273524,-0.0004238058,0.12328068,0.5850866734981537,23,188416,646.4655038760975,188416
72.91,-1.28,301,0.00094963284,0.0016682943,2.3446858,-0.0009087745,0.14202139,0.6345663070678711,24,196608,673.6741015939042,196608
72.23,-1.09,300,0.00061995286,0.00056966144,2.2923477,-0.0005905049,0.093895756,0.6064854562282562,25,204800,700.9732573796064,204800
72.85,-0.95,284,0.0031816622,0.06188965,2.2285824,-0.0011175981,0.09893034,0.5318531692028046,26,212992,729.801027723588,212992
75.26,-1.07,293,0.000695291,0.0026448567,2.188133,-0.00068210205,0.085062295,0.6139383614063263,27,221184,757.8119504814968,221184
71.98,-1.24,290,0.0006625936,0.00024414062,2.2277496,-0.0005685689,0.093623616,0.5590627789497375,28,229376,785.9864020813257,229376
71.81,-1.2,290,0.00043403372,0.0,2.261635,-0.00015246926,0.13320835,0.5895383656024933,29,237568,814.2049123030156,237568
73.67,-1.1,302,0.00035931534,0.0,2.3377883,-0.00078330934,0.081685066,0.562382698059082,30,245760,841.2768822629005,245760
73.4,-0.82,295,0.00091282866,0.0028483074,2.299759,-0.0011796061,0.073088914,0.6117103397846222,31,253952,868.9959864970297,253952
71.51,-0.68,288,0.0010099016,0.0034179688,2.2618158,-0.00044556786,0.07083482,0.6451221108436584,32,262144,897.5185688938946,262144
71.67,-1.55,307,0.0017880262,0.0087890625,2.2326424,-0.0013181436,0.09038097,0.6072234213352203,33,270336,924.2651174031198,270336
73.7,-0.96,294,0.0011571759,0.010701497,2.2156892,-0.0004217207,0.07123203,0.6586750149726868,34,278528,952.0444629862905,278528
73.02,-0.94,294,0.00068361196,0.0008951823,2.2111971,-0.00054799655,0.07118094,0.6817431747913361,35,286720,979.8776974715292,286720
71.94,-1.22,307,0.0018126331,0.0045572915,2.1324556,-0.0005867253,0.09352062,0.6577762067317963,36,294912,1006.5211627418175,294912
71.14,-1.01,289,0.0029376298,0.044352215,2.1709101,0.0008478691,0.07375696,0.7110726833343506,37,303104,1034.843237423338,303104
72.97,-1.45,291,0.0007405449,0.0024820964,2.150222,-0.00045885122,0.08923417,0.7763336896896362,38,311296,1062.944985654205,311296
71.97,-1.07,289,0.0009798139,0.005004883,2.1805737,-0.0006226893,0.0743415,0.7400601208209991,39,319488,1091.1960731018335,319488
72.81,-0.63,291,0.000517989,0.00016276042,2.1353738,-0.0007493177,0.054350432,0.700115829706192,40,327680,1119.3208565227687,327680
75.01,-0.88,291,0.00033282163,8.138021e-05,2.0326474,-0.0005726821,0.05749935,0.7916731387376785,41,335872,1147.50697265286,335872
73.41,-0.55,299,0.0008312652,0.0023600261,1.9701256,-0.00094488496,0.05455188,0.8078437745571136,42,344064,1174.8703461457044,344064
73.22,-0.91,298,0.00050437974,0.0015055338,2.1002223,-0.0006730859,0.06875533,0.7345382571220398,43,352256,1202.4188217893243,352256
71.15,-0.76,298,0.000647102,0.0023600261,2.1351683,-0.0006589903,0.05408698,0.7774854898452759,44,360448,1229.8826854918152,360448
72.08,-0.78,300,0.0011250383,0.0037434895,2.2122083,-0.0012098524,0.06415285,0.7358122766017914,45,368640,1257.1894976403564,368640
73.06,-1.04,296,0.0013592738,0.008260091,2.1609173,-0.00082345697,0.056359183,0.7563561052083969,46,376832,1284.8583166766912,376832
72.36,-0.54,301,0.0027717473,0.020711264,2.17906,-7.98353e-05,0.043128103,0.7802264094352722,47,385024,1312.0503045879304,385024
72.93,-1.0,291,0.0045220912,0.03479004,2.0336993,-0.00077345315,0.061693247,0.7780553996562958,48,393216,1340.2935953959823,393216
73.73,-0.79,298,0.002181579,0.01550293,2.1819105,7.078637e-05,0.047133863,0.8668975085020065,49,401408,1367.7300814492628,401408
68.96,-0.35,293,0.0018693125,0.008341472,2.0933578,-1.607874e-05,0.051577643,0.8216458112001419,50,409600,1395.6426340872422,409600
76.12,-0.62,294,0.00047375087,0.0012613932,2.0859394,-0.0008157434,0.047495544,0.7692283242940903,51,417792,1423.5332447858527,417792
73.31,-0.98,301,0.0004511867,0.00020345052,2.046189,-0.00016981456,0.057937298,0.8465070724487305,52,425984,1450.7168439812958,425984
77.67,-0.37,299,0.00030975885,0.0,2.0645802,-0.0005581514,0.046383053,0.8086586445569992,53,434176,1478.0522566391155,434176
72.55,-1.21,291,0.00043619415,0.0,2.09568,-0.0009061398,0.0510252,0.8176088631153107,54,442368,1506.1408781958744,442368
73.87,-0.8,300,0.0021391083,0.0119222,2.034808,-0.0011117238,0.03891178,0.8888598158955574,55,450560,1533.4121607653797,450560
72.24,-0.65,302,0.0006335117,0.00012207031,2.1167345,-0.00036338143,0.057804942,0.73694908618927,56,458752,1560.5355338398367,458752
73.08,-0.93,295,0.0053920485,0.071736656,2.0557177,-0.0014387914,0.070824675,0.7255019843578339,57,466944,1588.2522496813908,466944
71.11,-0.61,299,0.00055174954,0.0034179688,2.0071235,-0.00040833626,0.05655985,0.8179542273283005,58,475136,1615.5875493409112,475136
69.91,-0.27,299,0.0022905264,0.014078776,2.0724647,-0.0010288168,0.04343988,0.8344107866287231,59,483328,1642.9576234128326,483328
73.9,-0.85,303,0.00089998683,0.003458659,2.1019003,-0.0009820758,0.051388014,0.8715283870697021,60,491520,1670.0435380255803,491520
72.01,-1.0,300,0.0009640421,0.0013427734,2.011647,-0.0007981242,0.0503711,0.8376144021749496,61,499712,1697.3395569957793,499712
75.42,-0.66,308,0.00214374,0.01159668,1.9531912,-0.0009209392,0.03272328,0.8777856379747391,62,507904,1723.8582656001672,507904
74.99,-0.78,292,0.0057243533,0.085245766,2.0327818,-0.0010098199,0.0541413,0.8690714538097382,63,516096,1751.8806667476892,516096
73.11,-0.31,293,0.00086884014,0.0009358724,2.0281973,-0.0008699068,0.040484887,0.8488240838050842,64,524288,1779.8273237487301,524288
75.37,-0.47,294,0.0008799814,0.0040283203,1.9698267,-0.00088700047,0.030986207,0.8582180291414261,65,532480,1807.664495235309,532480
70.94,-0.75,299,0.0025948088,0.01940918,1.9178439,-0.00079501775,0.035629347,0.9051994979381561,66,540672,1834.9802440926433,540672
73.05,-0.75,290,0.00044916393,0.0008951823,1.8569597,-0.00077877915,0.041455355,0.8846769034862518,67,548864,1863.221836367622,548864
75.88,-0.39,303,0.006265953,0.08508301,1.9388441,-0.001599438,0.044040818,0.7611672431230545,68,557056,1890.1766855632886,557056
73.64,-0.97,289,0.0021398936,0.009195964,1.9094039,-0.00061416446,0.061230198,0.8195345550775528,69,565248,1918.4762931093574,565248
69.36,-1.14,287,0.0013401239,0.006958008,1.8578488,-0.0012386354,0.07087297,0.7918368130922318,70,573440,1946.9616707786918,573440
72.36,-0.61,301,0.0027529448,0.014892578,1.7685567,-0.00069163245,0.07795104,0.7493583858013153,71,581632,1974.1017128070816,581632
70.92,-1.13,288,0.0027300522,0.025756836,1.7263174,-0.0016583771,0.072786205,0.775394544005394,72,589824,2002.4658651696518,589824
74.69,-0.74,300,0.0025693642,0.011433919,1.7451497,-0.0010566547,0.061543,0.8142673075199127,73,598016,2029.7573112361133,598016
73.28,-0.41,297,0.002092862,0.014689128,1.7444102,-0.0011681839,0.03526428,0.8827034905552864,74,606208,2057.2595651391894,606208
74.44,-0.17,296,0.0006332401,0.00081380206,1.7242788,-0.00059030595,0.03914791,0.8764646276831627,75,614400,2084.8895031781867,614400
71.55,-0.64,291,0.0015523074,0.018188477,1.6753556,-0.0010180442,0.06790004,0.8673474341630936,76,622592,2113.1539069050923,622592
72.06,-0.64,289,0.0051713996,0.05765788,1.7172489,0.0003198455,0.069495045,0.7979090213775635,77,630784,2141.496210999787,630784
72.67,-0.58,294,0.00082843495,0.0043945312,1.7432089,-0.0009245274,0.06400251,0.806156799197197,78,638976,2169.3027144204825,638976
71.09,-0.27,298,0.0043234727,0.04984538,1.7916679,-0.0006528049,0.037248284,0.8722259849309921,79,647168,2196.7168463105336,647168
72.95,-0.35,303,0.0025376966,0.026285807,1.784952,-0.00223375,0.058377434,0.790796086192131,80,655360,2223.6926961243153,655360
76.76,-0.21,295,0.0036451237,0.04679362,1.8556188,0.000888318,0.06088039,0.7754842638969421,81,663552,2251.4105445016176,663552
74.9,-0.27,293,0.010892515,0.16573079,1.8443977,0.0017522323,0.0642826,0.6912454664707184,82,671744,2279.2908968487754,671744
73.53,-0.17,295,0.0018308628,0.011433919,1.921311,-0.0013479543,0.06023027,0.6979752480983734,83,679936,2307.028167310171,679936
71.92,-0.73,294,0.006596748,0.08251953,1.8109274,-0.0016728765,0.055417597,0.8389456123113632,84,688128,2334.8919455511495,688128
70.88,-0.08,300,0.005087616,0.07120768,1.8694683,0.00017609121,0.050572682,0.7735843658447266,85,696320,2362.183933663182,696320
73.12,-0.22,293,0.008352994,0.121663414,1.766942,0.0004558869,0.06187615,0.8493711650371552,86,704512,2390.233539259061,704512
74.0,-0.53,298,0.0020464754,0.017293295,1.7787555,-0.0010616569,0.04593739,0.8666795790195465,87,712704,2417.6695179399103,712704
73.8,-0.32,307,0.0028756715,0.029256186,1.8239012,-0.0017889453,0.04533404,0.8581330925226212,88,720896,2444.27245771233,720896
72.64,-0.65,291,0.0018239444,0.0073242188,1.7523642,-0.0020837435,0.041222345,0.8756755888462067,89,729088,2472.4181734817103,729088
74.63,-0.63,291,0.0035883943,0.029988607,1.7982007,-0.0015178458,0.037873328,0.8665833026170731,90,737280,2500.5576520711184,737280
70.66,-0.07,294,0.0015759651,0.0022786458,1.7673191,-0.0019710844,0.04460552,0.7427246868610382,91,745472,2528.389605000615,745472
72.24,-0.23,299,0.0066692494,0.10017904,1.7774706,-8.638793e-07,0.040035877,0.8839683756232262,92,753664,2555.860383027233,753664
70.42,-0.48,298,0.0012166863,0.003458659,1.7358932,-0.0013335114,0.03667082,0.9036700129508972,93,761856,2583.281381327659,761856
74.62,-0.09,303,0.0007633667,0.0040283203,1.7495979,-0.0017711745,0.04454578,0.8137418925762177,94,770048,2610.2596719264984,770048
74.28,-0.2,300,0.0014724261,0.006754557,1.7374011,-0.00240663,0.028442657,0.8661559224128723,95,778240,2637.5155602367595,778240
75.56,-0.13,287,0.0019171514,0.0076497397,1.6749843,-0.0015198402,0.028506955,0.8873853161931038,96,786432,2665.9852784937248,786432
73.66,0.16,292,0.0019572068,0.015136719,1.623531,-0.00085652276,0.026093999,0.8667830675840378,97,794624,2693.9838992850855,794624
75.62,0.18,300,0.0021691145,0.021240234,1.693731,-0.0015567327,0.028917119,0.8484497666358948,98,802816,2721.322507479228,802816
76.39,0.1,296,0.0064905137,0.09590658,1.623937,-0.0005045662,0.03443332,0.8439553678035736,99,811008,2749.079092944972,811008
73.33,-0.12,294,0.005250637,0.056762695,1.5548629,-0.0016893971,0.040805444,0.838496670126915,100,819200,2776.9040232319385,819200
71.17,0.04,298,0.002519373,0.017944336,1.5264343,-0.0018322282,0.038225036,0.8560109734535217,101,827392,2804.353082291782,827392
75.99,-0.01,291,0.0024328774,0.014729817,1.5354811,-0.0009925789,0.044228572,0.8155059367418289,102,835584,2832.4970426671207,835584
72.42,0.06,296,0.0021598858,0.014160156,1.5394729,-0.0017482275,0.03251737,0.9003514051437378,103,843776,2860.1392502421513,843776
71.82,0.14,293,0.0033232693,0.03910319,1.529842,-0.0025612486,0.032946743,0.7593155354261398,104,851968,2888.0246673533693,851968
74.91,0.11,294,0.0011731935,0.0060628257,1.5724344,-0.0021310449,0.024906382,0.9240039065480232,105,860160,2915.818613571115,860160
74.1,0.05,297,0.004636179,0.05586751,1.5789723,-0.0016696766,0.032531537,0.821616604924202,106,868352,2943.3479517055675,868352
72.97,0.15,301,0.0028845686,0.028523764,1.5576044,-0.0036687348,0.030842192,0.8949653208255768,107,876544,2970.5130977779627,876544
72.71,0.26,300,0.0024829386,0.018595377,1.5000881,-0.002077953,0.027685232,0.8660935908555984,108,884736,2997.7589814988896,884736
74.94,0.4,308,0.003528694,0.038208008,1.4585651,-0.0009104164,0.020033047,0.91867496073246,109,892928,3024.4220378715545,892928
73.94,0.25,299,0.0066308174,0.08243815,1.4786739,-0.00046252992,0.039428804,0.822290763258934,110,901120,3051.9093951117247,901120
75.6,-0.26,285,0.009466294,0.13187663,1.4323658,0.0012071789,0.036467526,0.9065976217389107,111,909312,3080.654079983942,909312
71.7,0.26,285,0.011558679,0.16638184,1.4612757,0.0023555655,0.035020042,0.8344443887472153,112,917504,3109.3185324966908,917504
75.25,0.46,299,0.0014874501,0.012491862,1.5578936,-0.0018520346,0.029601723,0.8933063298463821,113,925696,3136.7035769456998,925696
76.06,0.25,305,0.0043941545,0.05008952,1.5324879,-0.0012457214,0.03591646,0.8762957379221916,114,933888,3163.6620291965082,933888
72.34,0.11,292,0.004958524,0.05895996,1.470534,-0.0032137109,0.026196426,0.9068180844187737,115,942080,3191.6511044381186,942080
73.77,0.07,291,0.0061782585,0.0822347,1.542355,-0.0003209964,0.037127208,0.9030767306685448,116,950272,3219.735267231241,950272
71.42,0.15,295,0.0010625934,0.0026855469,1.5436362,-0.0011706554,0.029579854,0.8684104084968567,117,958464,3247.5010744901374,958464
73.08,0.39,294,0.003182954,0.036621094,1.5677662,-0.00044611158,0.018616455,0.93756914883852,118,966656,3275.293243838474,966656
73.11,-0.13,298,0.003730382,0.03926595,1.4899801,-0.0015602923,0.03148745,0.9361173957586288,119,974848,3302.748599155806,974848
73.66,0.03,288,0.0013033891,0.012288411,1.4795707,-0.0020030849,0.029518334,0.9068386927247047,120,983040,3331.1354565424845,983040
73.93,0.2,297,0.002133847,0.016764322,1.5060945,-0.0014719527,0.016431775,0.9539398811757565,121,991232,3358.627554253675,991232
73.95,0.08,298,0.0086753955,0.11641439,1.4352355,-0.00061413227,0.03081051,0.9030470326542854,122,999424,3386.0331871695817,999424
73.73,0.23,299,0.0027656273,0.028645834,1.3786663,-0.0005334408,0.027060727,0.8974537923932076,123,1007616,3413.3589097997174,1007616
72.88,0.1,305,0.0056205858,0.076416016,1.4053468,-0.0014662367,0.035431143,0.9039547741413116,124,1015808,3440.185115493834,1015808
72.27,0.31,309,0.007963739,0.114217125,1.4261767,0.0012714034,0.025732277,0.90480025857687,125,1024000,3466.6282695438713,1024000
71.48,0.17,305,0.007928339,0.110310875,1.4185275,0.0017848836,0.026899481,0.9354093670845032,126,1032192,3493.419957783073,1032192
73.85,0.34,298,0.003275995,0.030151367,1.4163876,-0.0010068152,0.018290905,0.9352493733167648,127,1040384,3520.8516809735447,1040384
70.95,0.14,303,0.0025366207,0.021158854,1.3739085,-0.001513875,0.018274179,0.948321208357811,128,1048576,3547.868390851654,1048576
76.02,0.42,295,0.004311996,0.055338543,1.3693508,-0.0010009351,0.0154079795,0.9106320738792419,129,1056768,3575.5679966453463,1056768
73.17,0.35,295,0.009166171,0.12410482,1.2872117,0.00068656023,0.01641233,0.9262128323316574,130,1064960,3603.258311873302,1064960
72.33,0.22,290,0.0051776622,0.06876627,1.375429,0.00054932496,0.02042644,0.9434608407318592,131,1073152,3631.484923481941,1073152
72.12,0.12,287,0.0042610257,0.051432293,1.294109,-0.0015728347,0.026297629,0.9135418459773064,132,1081344,3659.989415262826,1081344
72.08,0.48,301,0.0019551143,0.018229166,1.3501345,-0.0005007433,0.022136748,0.9204226806759834,133,1089536,3687.1774957329035,1089536
75.46,0.35,300,0.0017329339,0.01566569,1.3133322,-0.0018028374,0.022051439,0.9473491609096527,134,1097728,3714.5173450121656,1097728
73.1,0.32,290,0.006384378,0.08959961,1.3349504,0.0002765626,0.019193707,0.9378961697220802,135,1105920,3742.715938429348,1105920
71.15,0.2,304,0.003933256,0.045166016,1.2534698,-0.0020285414,0.021007858,0.9367559179663658,136,1114112,3769.6176522085443,1114112
71.4,0.33,296,0.0015935907,0.009969075,1.3348128,-0.00157458,0.021259347,0.912827305495739,137,1122304,3797.2735399585217,1122304
73.83,0.24,290,0.0010322531,0.009358724,1.3407284,-0.003006775,0.027383631,0.9095051884651184,138,1130496,3825.495849043131,1130496
74.57,0.11,297,0.0031180598,0.03108724,1.3019332,-0.0030348229,0.03387947,0.8917367234826088,139,1138688,3853.0136616332456,1138688
73.41,0.46,290,0.0025171097,0.029174805,1.3359752,-0.0025234965,0.019139774,0.9405723847448826,140,1146880,3881.2558838501573,1146880
75.24,0.33,296,0.0019115064,0.013142903,1.2789447,-0.0037043595,0.025389157,0.9357719495892525,141,1155072,3908.9219916341826,1155072
77.59,0.1,302,0.0046887635,0.059733074,1.2370781,-0.0013714548,0.025144523,0.9443086236715317,142,1163264,3935.9869829816744,1163264
75.48,0.42,295,0.0014576198,0.012613933,1.2973553,-0.0012552671,0.030452713,0.9176626056432724,143,1171456,3963.719992290251,1171456
75.22,0.32,299,0.0025058188,0.02734375,1.1505971,-0.002610415,0.047501314,0.8713119029998779,144,1179648,3991.046699698083,1179648
73.56,0.2,304,0.0023394208,0.02335612,1.1571873,-0.0018240813,0.021910856,0.9092336520552635,145,1187840,4017.9179993271828,1187840
75.2,0.36,301,0.0059165037,0.08719889,1.1091722,0.00010557065,0.037230905,0.9131870120763779,146,1196032,4045.091370993294,1196032
71.93,0.26,296,0.005495973,0.072631836,1.2283088,-0.0006605801,0.028403789,0.9063752070069313,147,1204224,4072.7001269571483,1204224
72.71,0.3,301,0.008730789,0.104044594,1.0478011,0.0004401285,0.030274147,0.9199677184224129,148,1212416,4099.877740689553,1212416
72.67,0.5,297,0.008240116,0.09667969,1.1599771,0.0028278183,0.021863213,0.9198736324906349,149,1220608,4127.373547572643,1220608
73.72,0.7,304,0.004557124,0.053141277,1.0820106,-0.00042589195,0.014228184,0.9446516670286655,150,1228800,4154.413750031963,1228800
73.61,0.66,299,0.0032999124,0.043741863,1.1636144,-0.0010998962,0.0187641,0.9423002600669861,151,1236992,4181.911971140653,1236992
73.84,0.49,296,0.011583353,0.13509114,1.067383,0.0046358323,0.02444666,0.9160020276904106,152,1245184,4209.503663890995,1245184
76.04,0.48,290,0.00195639,0.020507812,1.1104993,-0.0020763392,0.0138702495,0.9600636512041092,153,1253376,4237.693730516359,1253376
73.8,0.18,302,0.004908275,0.04960124,1.0104072,-0.0014773748,0.027080573,0.9357820898294449,154,1261568,4264.785463235341,1261568
74.21,0.64,301,0.0045581567,0.06193034,1.0838166,-0.000825885,0.02078216,0.8990667313337326,155,1269760,4291.952992576174,1269760
73.86,0.38,296,0.008468107,0.0982666,0.9155159,0.0026958557,0.025769228,0.907246820628643,156,1277952,4319.610108921304,1277952
73.51,0.53,294,0.002219319,0.02368164,0.97214895,-0.00141903,0.014105283,0.9576187394559383,157,1286144,4347.412136889994,1286144
74.21,0.4,295,0.002240152,0.02331543,0.89818245,-0.0027645372,0.030078733,0.9070787280797958,158,1294336,4375.154533677734,1294336
72.75,0.49,291,0.007732069,0.085367836,0.9269411,0.004815346,0.01975512,0.9509151019155979,159,1302528,4403.227619350888,1302528
74.02,0.67,289,0.0033994317,0.040649414,0.91433054,-0.0013101838,0.013833416,0.9531646706163883,160,1310720,4431.506678500213,1310720
70.48,0.53,311,0.0022648305,0.023763021,0.97531796,-0.00173013,0.021176904,0.9302535206079483,161,1318912,4457.792601219378,1318912
78.65,0.7,301,0.0018870422,0.021728516,1.0167894,-0.0009848513,0.020695595,0.946814451366663,162,1327104,4484.950971942395,1327104
